68383 155734
20659 62222
40218 39130 166113
6900 4268 194268
44015 9969 185406
56502 17082 186646
59638 28100 184835
44909 25242 180970
61549 58921 161366
40046 52454 228466
27252 42606 233480
43118 44885 201930
10039 64942 210406
62573 10714 179522
50142 62707 189606
35193 22591 225756
45595 21900 211608
16455 21048 176969
27175 37556 199788
12052 34782 186859
7765 17818 186235
21956 50523 220191
54539 47400 211128
43113 12304 213404
59887 459 171136
49512 19427 213244
4815 59380 226269
48986 24005 221368
37807 23512 176186
13792 13479 226658
49804 31504 217734
58699 12788 213630
49107 65083 198220
4216 67550 169373
28539 63592 165876
10365 47996 195577
39927 54260 191692
35954 51787 221496
26179 46469 227059
50886 15682 200365
56079 39160 158014
16958 30599 225303
34251 33987 227433
53683 19594 228519
41956 39417 167333
16222 50314 216983
65179 56751 208189
62221 5603 206776
45336 56298 225375
28935 18289 221824
39728 49812 181863
23318 8652 207060
13742 18227 226477
55324 10255 196273
31877 25645 205923
68281 27630 165366
763 4879 208996
13823 42240 217750
17459 36608 185074
61946 32307 182102
6810 44984 196877
36016 13219 160018
48646 55063 212912
37261 57875 184095
5768 27897 190351
57875 9031 233447
43220 12138 172177
35155 21938 218312
50940 29254 215299
512 15358 173803
26313 21966 200434
10247 18508 217857
42527 12137 185044
530 34392 222838
66625 46838 225662
35409 14857 166371
47384 65937 225301
45234 58054 186773
50266 68065 175059
35727 56798 178991
50347 60884 194410
49167 40888 156908
54418 27640 211914
49597 26734 171508
47797 15132 165122
61451 1132 186420
67208 6529 230017
41548 17487 181243
54918 33149 215786
46489 54108 193188
2131 35222 200449
54616 50025 212919
15343 49192 184273
6575 9919 197629
25674 41065 219373
37074 16067 223937
17123 28592 166532
6094 4372 208761
23483 39925 202285
43458 66968 173719
39522 55886 213516
10192 39032 190101
36086 65785 182470
9049 27280 215761
52306 3337 185949
64617 23517 180790
28705 64977 155859
25173 47015 160414
14943 32536 170723
57277 7285 177140
38504 11164 162968
5371 41179 213649
46652 16303 213581
67582 11076 204095
55360 31893 203947
20675 28003 197898
8922 12843 215028
45182 8365 209534
43761 10264 225829
1945 55093 219088
39720 46356 200566
40611 51727 217800
19316 50211 175735
735 61334 213610
47372 35597 183227
67225 12552 201662
23710 10080 205685
22180 45261 186029
44944 40140 221305
11990 37828 166025
67823 27918 170029
60472 61337 203707
934 50619 210443
7231 15077 178729
68201 13268 171839
53034 20564 221020
23360 4957 173779
46288 101 213728
55580 28336 186061
67188 68038 226927
41661 19401 209844
918 45971 183376
58131 39633 189653
12877 44827 172725
59070 41024 201068
25810 52823 229843
17230 57702 159250
58782 48671 159038
48387 34163 204358
20910 4631 171723
15837 28413 157264
1944 21014 212883
61970 6024 205892
16390 1923 229730
48314 29095 174879
34940 35933 176681
60692 24504 206232
18105 65774 169914
59235 40216 174173
55456 8087 175210
39533 13046 233588
59870 61883 171448
30657 40620 190980
32837 58306 176505
22823 56820 187684
21102 24273 185236
61755 11633 202337
4689 47662 217672
21673 53826 206542
39472 30302 200393
2947 44223 229695
11661 8041 174304
58440 39393 179617
750 49589 189924
63751 52698 173161
57827 62902 205319
10859 63722 221732
52988 53030 194675
66185 19861 160611
53913 16269 210518
43419 18493 178058
15660 20581 221590
60847 65918 232386
47552 46732 230569
62624 64285 215368
18454 6036 193102
45100 32914 202847
2320 40981 166617
53090 15333 214667
51767 35929 171926
29220 25076 173937
59261 16662 171045
12550 67606 173679
40212 45457 223032
44005 16120 206910
68340 17221 194039
6586 24205 181547
54233 62288 213300
13405 30566 197890
58796 13710 225453
48823 60281 157202
33902 45146 192318
24665 22948 209632
14575 64184 200694
43961 38670 197312
55569 54961 216429
10523 18578 177791
59024 54157 158197
4382 4833 230140
56211 4765 204154
6935 10388 229389
21637 32868 159412
6794 19186 191043
26950 2555 211457
47615 14822 169333
20862 25091 222020
7158 26456 164355
50042 27087 225872
32101 64487 203212
49053 11656 227849
12600 61293 189632
12320 56336 218285
2111 35071 228397
26275 35222 192181
49042 33908 229469
34610 56490 173779
61684 10365 190368
44662 32185 230065
53032 42456 204560
13427 64192 230737
47655 14957 220855
43334 37552 180803
47493 21105 182150
22769 50061 169530
22406 44604 191912
2512 41394 175613
9381 19720 158594
34389 11258 214849
57654 16988 199045
33557 17192 223525
3760 61824 216119
3508 7233 169287
16089 20579 229834
61865 4639 215200
65807 45179 204273
10726 26999 202527
45347 44765 201216
6588 51474 215419
50221 36866 190750
60481 23331 185199
54866 6562 212715
57925 39421 204778
57095 45786 219546
22772 46141 184531
24796 36806 213073
33057 37793 193619
66919 18503 198978
47070 1555 211413
8215 85 179445
29453 60797 219810
6389 42618 165059
9553 42568 229903
65997 17497 160062
13539 30820 159577
63779 23734 213846
54818 63951 195523
53786 6650 165209
60466 48400 230948
31213 26581 223295
65580 57615 196162
54225 62981 181143
45724 63478 200211
66590 57642 196832
52001 37888 195448
66948 67583 204168
50533 43729 212016
58405 5260 213109
14192 60938 190245
48455 19739 215564
64245 16153 175169
24481 20815 231885
5936 40414 168753
44607 63696 161529
30918 22802 160671
38360 59430 211509
27823 35724 230209
48242 24 203596
44728 24096 219194
651 54693 164366
6281 54668 186590
58026 44330 182511
65546 11537 229206
13179 75 229795
64785 15514 175510
67741 31185 181372
59573 57173 162197
39237 18300 190066
15788 40836 193750
61415 23876 206105
27967 31736 221366
22209 51251 223900
47002 39650 169965
33253 50901 167627
53598 44310 163817
21480 48901 159104
57921 67906 173245
40262 59070 177034
10575 17695 206577
14659 6218 176193
61801 30250 194746
39642 45714 212721
54193 52778 157618
29875 26323 212610
61461 62408 195208
29231 55399 194014
29446 31232 221086
45506 13207 169627
57236 28226 207404
21329 37276 190885
25976 53628 232606
33289 63988 160509
27089 18480 186482
34609 50982 194778
9355 27438 213561
30421 66286 211904
15105 4713 163712
55979 36316 196430
45018 18921 181812
52534 10090 192696
46242 9074 200388
47422 45291 175800
40262 22474 172329
21002 67128 183330
34462 48199 225875
27846 31882 160664
30734 41178 186226
41113 50098 185461
7244 4982 223020
51880 59716 229186
61692 24214 203647
11660 17873 211209
44146 48845 224842
64620 54390 226258
17151 8176 200735
60113 44209 161316
4499 45512 217279
52162 14492 185784
37087 23445 211548
31167 20893 182127
14413 14324 175225
27672 5135 176077
7565 63608 160451
5400 44947 170312
46178 22079 180996
47502 56062 213819
53472 22829 159026
45067 29307 174000
54023 24464 219930
7929 52935 216070
33972 26613 201470
23833 59695 192652
758 57954 161684
39106 49069 229176
12863 24098 211230
47002 46573 194209
10092 39103 165344
59 42203 227968
53948 22718 201912
62807 9154 155830
1130 38792 191011
68194 37440 204493
22810 61497 166235
22987 31858 209740
65386 33834 189079
66093 58978 219469
41849 54283 197471
3968 13966 221495
6371 58947 193433
60046 33123 207434
54678 66416 222903
13914 42562 205659
23808 34581 191492
10721 48137 164559
61381 27776 216593
48409 29509 209242
33498 49177 157897
59404 40959 186936
66664 31228 189823
34962 39940 184057
26611 6161 200789
1741 22227 219297
65735 22881 181962
27382 27711 228618
39419 54174 215945
21706 35451 210897
12852 8451 200310
19319 62768 210149
11303 60117 185376
56913 54180 190118
56872 49300 218774
28002 41468 232583
12236 21650 208956
18610 1503 206575
60368 34701 162852
537 12840 168573
47253 25519 180634
33611 15707 173076
12165 2917 198634
11337 5125 230293
6269 13423 215475
23788 44720 196410
13394 4704 218921
23882 5699 215709
11113 6246 174499
63355 1024 211825
34282 17485 175425
56545 12065 220338
32168 65397 188464
44565 9083 163872
23160 10450 204355
23234 49685 209851
22837 60428 185448
20797 23909 226826
37997 32668 177603
22935 56043 158311
3031 10705 181643
28449 27560 202580
20748 40142 228821
59459 3065 210252
4918 48819 176296
65042 27565 232492
63690 50959 210545
51269 6831 182983
36917 46081 160283
63753 39748 184805
761 57244 174466
66313 8904 169177
29691 42857 197903
66769 54797 208826
49032 12728 187315
63536 5190 216635
28988 54764 192732
3750 19405 207811
22239 11560 202490
13297 31447 188822
25304 60230 179852
59662 60506 164989
64092 17231 155848
11888 1910 160988
4299 41529 171770
1868 22135 194243
15717 60353 170851
25018 11284 219089
40756 19592 223833
13420 23874 179214
37673 62561 226082
46303 34753 226794
67824 24979 205421
64305 58896 197356
45651 28396 185269
42143 23880 225386
32939 26803 223151
50646 67078 176188
7271 13165 163608
52101 50375 172957
37959 39759 223859
57686 7115 232529
39059 61233 205126
39597 61171 184947
68185 47920 200139
55887 17041 188427
25892 33787 185263
67840 19 231835
3079 7496 170418
21188 53168 215151
57818 31437 194329
18351 31775 199919
62970 40572 156650
11042 65223 160847
59440 21387 214842
33292 7367 156016
52745 19242 167903
35242 65297 215323
36560 18904 232790
39079 46704 224759
2510 56815 160590
17469 40939 216656
16179 35716 214925
33328 63146 192946
35576 50667 163061
9565 52677 195164
3118 57322 189142
56625 62942 211637
60023 15340 197820
47091 34992 204358
15375 54745 222210
55643 11214 159352
68059 944 170348
4787 57006 205296
68000 54304 205136
27059 34255 218562
19511 53786 163308
55101 67251 221605
28444 58992 194678
4420 50773 205765
3306 11705 166128
55850 61470 190678
22978 34283 178323
34957 31654 161772
31276 53428 182879
14716 54128 200560
1026 43478 223393
5214 26792 203278
16387 59118 158317
51200 38653 197789
28817 44591 177631
63809 13663 180795
41490 47775 218127
9654 55108 201488
6101 20859 228961
15455 9830 177138
29780 33469 233461
59084 21196 203671
13879 16261 192830
41116 46586 158664
7254 16124 184229
44368 60857 213341
51219 59632 179909
2143 31235 221973
42537 60080 158288
45620 58653 176926
19709 34580 157388
60308 63019 187401
23165 7390 161284
8007 53101 191898
3875 63482 172751
18807 55489 220719
