88594 205227
40370 79478
23827 30427 276755
6324 71121 228071
706 32139 252052
65734 76399 219635
39747 84426 300780
13086 20499 211234
58740 52426 270668
33823 41006 270052
13679 53572 282565
20776 75124 246414
45360 18575 234625
37642 17158 285049
71775 77909 250226
67327 27947 302771
48875 19287 235949
56221 36074 223851
7632 15259 269111
14835 6979 246667
19024 3786 284534
17811 24075 214637
20248 25050 221528
51562 59475 217858
58075 2052 225196
67675 26423 291979
25552 65203 211574
62820 82968 296096
27561 83426 219013
5117 20924 302480
58375 24742 264784
51673 73745 258117
15773 25207 256843
39148 57521 289676
32165 56816 233922
10551 50455 268657
46138 83405 217084
42681 37012 290327
56442 19616 279518
22926 80210 279872
67232 31520 267174
54225 21069 291507
42737 66343 238888
79274 75131 259693
59944 36470 231072
38224 34926 206248
15463 33896 209796
79545 76707 223968
38158 48946 287762
73336 2826 216720
43656 7691 230114
53804 39735 245896
46719 49817 240083
64050 13395 222474
6423 24017 250567
56813 78791 270246
27644 80587 257449
26289 10598 236133
19805 80426 303038
43533 18028 275162
11397 13311 300871
39531 66558 257862
58453 9975 218435
66111 52554 255187
60673 46658 239455
5761 38729 211581
54866 19454 299888
80374 48725 212019
24968 87828 226584
71272 40588 266996
15485 60132 245429
79957 52744 262642
47026 36917 246781
71621 25133 220371
26393 70982 249434
36587 38630 262155
50559 70787 293579
11055 11590 273646
36857 42669 208005
87311 35899 289759
29021 7719 243486
38357 46045 297759
55736 55389 222597
76831 29614 233275
33542 9752 299790
63487 81623 227420
59525 46746 278813
46223 57456 302730
26321 56742 210735
13807 20328 305302
17266 57844 224381
41039 75451 278006
46165 27942 222902
25215 19891 303609
6955 45783 225417
86600 14271 264937
70284 62889 259421
37137 716 298774
49472 58366 274576
70258 46698 230936
14609 20054 267463
13673 85327 207766
14575 51469 256236
45170 54166 287340
34956 40207 259188
73176 9108 282581
77737 78817 257899
33991 9618 227454
28388 36765 290566
56359 48309 221806
70556 10624 222147
73376 45964 226369
3623 55172 272213
3545 22305 207823
47982 82109 236511
19551 47848 262721
23696 34529 307657
86081 86996 254261
32373 76653 258459
34988 54841 226355
56483 36453 252433
87869 956 280072
6756 74816 241613
85835 31909 275973
44066 17986 228725
33045 75479 214923
476 13314 256518
1395 80894 214836
47662 81299 217072
29701 63717 286438
55185 28169 213680
14164 37158 253269
68554 82908 265386
38695 18492 303171
52735 35098 243465
87742 41717 255209
35119 83399 223166
12509 82636 273012
27062 49489 297637
16186 60174 264953
69786 15126 298642
13 67428 302018
6234 72560 296265
74179 44688 280333
61110 88153 293410
76322 53637 255522
85441 57206 274698
26460 74326 233522
87250 80936 293132
64376 82577 296348
11783 7279 290025
58280 14250 286947
78214 35127 255197
14279 9259 275891
72756 61907 224163
10959 6290 274817
81001 1404 226718
65040 8046 214082
22926 38244 303739
84494 67846 289263
77990 52468 234773
32185 61463 224224
88546 37913 224492
8565 5407 273508
1385 15337 242824
19200 39842 233589
19948 86109 220764
79475 62298 272235
66105 46816 265052
31282 29796 238666
32191 24724 207229
397 10643 242411
